Latitude,Longitude,Engaged,Duration,Distance,Width,Elevation,Heading,GPS Quality,Moisture,Flow Wheat,Header Offset,Speed,Mass Yield,Wet Yield,Dry Yield,Timestamp
40.66485196,-102.10608891,true,1,4.28,29,3656.48,253.6,1,13.5,0,0,2.9,0,0,0,1531524041
40.664851,-102.10610636,true,1,4.56,29,3656.52,265.8,1,13.5,0,0,3.1,0,0,0,1531524042
40.66485346,-102.10612542,true,1,5.01,29,3656.41,280,1,13.5,0,0,3.4,0,0,0,1531524043
40.66486001,-102.10614377,true,2,10.94,29,3656.35,294.8,1,13.5,0,0,3.7,0,0,0,1531524044
40.66487065,-102.10616139,true,1,5.83,29,3656.27,308.7,1,13.5,0,0,4,0,0,0,1531524045
40.66488457,-102.1061774,true,1,6.29,29,3656.29,318.7,1,13.5,0,0,4.3,0,0,0,1531524046
40.66490271,-102.10619323,true,1,7.02,29,3656.21,326.9,1,13.5,0,0,4.8,0,0,0,1531524047
40.66492372,-102.10620582,true,1,7.75,29,3656.14,335.4,1,13.5,0,0,5.3,0,0,0,1531524048
40.66494583,-102.1062141,true,1,8.39,29,3656.11,344.1,1,13.5,0,0,5.7,0,0,0,1531524049
40.66496834,-102.10621823,true,1,8.47,29,3656.19,352.2,1,13.5,0,0,5.8,0,0,0,1531524050
40.66499194,-102.10622003,true,1,8.47,29,3656.25,356.7,1,13.5,0,0,5.8,0,0,0,1531524051
40.66501527,-102.10622075,true,2,17.32,29,3656.31,358.5,1,13.5,0,0,5.9,0,0,0,1531524052
40.66503901,-102.10622129,true,1,8.66,29,3656.35,359.1,1,13.5,0,0,5.9,0,0,0,1531524053
40.66506316,-102.10622147,true,1,8.84,29,3656.38,359.5,1,13.5,0,0,6,0,0,0,1531524054
40.66508881,-102.10622129,true,1,8.93,29,3656.29,0.6,1,13.5,0,0,6.1,0,0,0,1531524055
40.66511405,-102.10622075,true,1,9.21,29,3656.24,1,1,13.5,0,0,6.3,0,0,0,1531524056
40.66513888,-102.10621985,true,1,9.39,29,3656.32,1.3,1,13.5,0,0,6.4,0,0,0,1531524057
40.66516453,-102.10621895,true,1,9.39,29,3656.25,1.6,1,13.5,0,0,6.4,0,0,0,1531524058
40.66519018,-102.10621769,true,1,9.39,29,3656.15,2.2,1,13.5,0,0,6.4,0,0,0,1531524059
40.66521542,-102.10621625,true,2,18.77,29,3656.05,2.3,1,13.5,0,0,6.4,0,0,0,1531524060
40.66524052,-102.10621445,true,1,9.39,29,3656.08,3.1,1,13.5,0,0,6.4,0,0,0,1531524061
40.66526644,-102.1062132,true,1,9.39,29,3656.01,2,1,13.5,0,0,6.4,0,0,0,1531524062
40.66529236,-102.10621248,true,1,9.57,29,3655.91,1.3,1,13.5,0,0,6.5,0,0,0,1531524063
40.66531788,-102.10621248,true,1,9.57,29,3655.98,360,1,13.5,0,0,6.5,0,0,0,1531524064
40.66534339,-102.10621302,true,1,9.57,29,3656.05,359.1,2,13.5,0,0,6.5,0,0,0,1531524065
40.66536945,-102.10621374,true,1,9.57,29,3656.05,358.9,2,13.5,0,0,6.5,0,0,0,1531524066
40.66539496,-102.10621517,true,1,9.57,29,3656.06,357.5,2,13.5,0,0,6.5,0,0,0,1531524067
40.66541966,-102.10621589,true,2,19.14,29,3656.07,358.9,2,13.5,0,0,6.5,0,0,0,1531524068
