"Latitude","Longitude","Heading"
40.70005296,-102.20213650,276.2
40.70005337,-102.20214208,275.1
40.70005378,-102.20214801,275.0
40.70005419,-102.20215377,275.7
40.70005501,-102.20216258,275.4
40.70005542,-102.20216942,274.7
40.70005596,-102.20217679,274.6
40.70005637,-102.20218435,274.7
40.70005692,-102.20219190,275.8
40.70005760,-102.20219910,276.4
40.70005801,-102.20220575,274.7
40.70005855,-102.20221564,274.7
40.70005883,-102.20223669,268.7
40.70005855,-102.20224424,267.1
40.70005842,-102.20225108,268.3
40.70005842,-102.20225845,270.4
40.70005855,-102.20226511,270.8
40.70005855,-102.20227104,270.2
40.70005855,-102.20227860,269.9
40.70005842,-102.20228543,268.9
40.70005828,-102.20229298,267.7
40.70005828,-102.20230414,270.0
40.70005814,-102.20231475,269.7
40.70005814,-102.20232572,270.1
40.70005774,-102.20233651,266.9
40.70005692,-102.20234694,264.4
40.70005610,-102.20235756,263.6
40.70005528,-102.20236763,264.0
40.70005419,-102.20237896,263.3
40.70005324,-102.20238975,263.4
40.70005214,-102.20240198,263.2
40.70005119,-102.20241475,263.8
40.70005037,-102.20242770,265.8
40.70005010,-102.20244119,268.1
40.70004996,-102.20245414,269.0
40.70004996,-102.20246727,270.0
40.70004969,-102.20248004,268.9
40.70004955,-102.20249335,268.9
40.70004928,-102.20250684,268.2
40.70004874,-102.20252015,267.6
40.70004805,-102.20253346,265.6
40.70004683,-102.20254659,263.2
40.70004574,-102.20255990,263.9
40.70004424,-102.20257393,262.2
40.70004301,-102.20258796,263.1
40.70004178,-102.20260181,263.0
40.70004069,-102.20261548,264.1
40.70003946,-102.20262951,263.6
40.70003824,-102.20264354,263.6
40.70003728,-102.20265775,264.8
40.70003619,-102.20267214,264.3
40.70003510,-102.20268599,264.2
40.70003442,-102.20270056,266.0
40.70003374,-102.20271459,266.4
40.70003305,-102.20272844,266.8
40.70003278,-102.20274426,268.8
40.70003237,-102.20276099,267.7
40.70003210,-102.20277754,269.1
40.70003196,-102.20279427,269.0
40.70003183,-102.20281099,269.4
40.70003128,-102.20282772,268.1
40.70003101,-102.20284463,268.3
40.70003060,-102.20286118,268.2
40.70003033,-102.20287826,268.9
40.70003033,-102.20289499,269.8
40.70003033,-102.20291172,270.2
40.70003087,-102.20292863,272.3
40.70003128,-102.20294571,272.2
40.70003169,-102.20296226,271.6
40.70003196,-102.20297899,271.5
40.70003224,-102.20299607,271.3
40.70003264,-102.20301316,271.6
40.70003319,-102.20303025,272.3
40.70003387,-102.20304698,272.9
40.70003401,-102.20306370,271.1
