"Latitude","Longitude","Region","Engaged","Duration","Distance","Width","Elevation","Heading","GPS Quality","Engine Load","Engine Power","Fuel Usage","Fuel Economy","Moisture","Flow Wheat","Header Offset","Speed","Mass Yield","Wet Yield","Dry Yield","Timestamp"
40.69998015,-102.20217733,"18/07/04-11:28:12",true,1.0,0.09,0.00,3730.11,269.8,2,31.0,0.00,7.6,0.0,13.3,0.0,0.0,0.1,0.0,0.0,0.0,1530725445.0
40.69998015,-102.20217733,"18/07/04-11:28:12",true,1.0,0.09,0.00,3730.11,269.8,2,31.0,0.00,7.6,0.0,13.3,0.0,0.0,0.1,0.0,0.0,0.0,1530725446.0
40.69998015,-102.20217733,"18/07/04-11:28:12",true,1.0,1.09,34.00,3730.11,269.8,2,35.0,0.00,8.6,2.8,13.3,0.0,-0.5,0.7,0.0,0.0,0.0,1530725446.0
40.69997987,-102.20218003,"18/07/04-11:28:12",true,4.0,4.37,34.00,3730.11,269.3,2,35.0,0.00,2.1,0.7,13.3,0.0,-0.5,0.7,0.0,0.0,0.0,1530725447.0
40.69997987,-102.20218561,"18/07/04-11:28:12",true,1.0,1.09,34.00,3730.08,268.8,2,35.0,0.00,8.6,2.8,13.3,0.0,-0.5,0.7,0.0,0.0,0.0,1530725448.0
40.69997960,-102.20218830,"18/07/04-11:28:12",true,1.0,1.18,34.00,3730.00,268.0,2,35.0,0.00,8.6,2.6,13.3,0.0,0.0,0.8,0.0,0.0,0.0,1530725449.0
40.69997919,-102.20219496,"18/07/04-11:28:12",true,2.0,3.10,34.00,3729.91,265.7,2,34.0,0.00,4.3,1.0,13.3,0.0,-0.5,1.1,0.0,0.0,0.0,1530725450.0
40.69997851,-102.20220305,"18/07/04-11:28:12",true,1.0,1.73,34.00,3729.79,263.6,2,34.0,0.00,8.6,1.8,13.3,0.0,-0.5,1.2,0.0,0.0,0.0,1530725451.0
40.69997783,-102.20220935,"18/07/04-11:28:12",true,1.0,1.73,34.00,3729.73,262.0,2,38.0,0.00,8.6,1.8,13.3,0.2,-0.5,1.2,150.3,2.5,2.5,1530725452.0
40.69997769,-102.20221528,"18/07/04-11:28:12",true,1.0,1.91,34.00,3729.63,261.5,2,43.0,0.00,9.5,1.8,13.3,0.6,-0.5,1.3,385.6,6.4,6.4,1530725453.0
40.69997592,-102.20222536,"18/07/04-11:28:12",true,1.0,2.19,34.00,3729.48,264.2,2,42.0,0.00,10.5,1.7,13.3,0.6,-0.5,1.5,339.9,5.7,5.7,1530725454.0
40.69997510,-102.20222769,"18/07/04-11:28:12",true,1.0,0.91,34.00,3729.57,262.9,2,39.0,0.00,10.5,4.1,13.3,0.3,-0.5,0.6,392.9,6.5,6.5,1530725455.0
40.69997510,-102.20223021,"18/07/04-11:28:12",true,1.0,0.82,34.00,3729.65,263.1,2,40.0,0.00,9.5,4.1,13.3,1.5,-0.5,0.6,2376.1,39.6,39.6,1530725456.0
40.69997524,-102.20223273,"18/07/04-11:28:12",true,1.0,0.91,34.00,3729.68,263.8,2,43.0,0.00,10.5,4.1,13.3,1.9,0.0,0.6,2599.6,43.3,43.3,1530725457.0
40.69997537,-102.20223867,"18/07/04-11:28:12",true,1.0,1.46,34.00,3729.67,265.6,2,39.0,0.00,10.5,2.6,13.3,3.4,-0.5,1.0,2963.2,49.4,49.4,1530725458.0
40.69997524,-102.20224406,"18/07/04-11:28:12",true,1.0,1.64,34.00,3729.61,266.6,2,34.0,0.00,9.5,2.1,13.3,3.7,-0.5,1.1,2855.1,47.6,47.6,1530725459.0
40.69997496,-102.20225359,"18/07/04-11:28:12",true,1.0,2.00,34.00,3729.45,269.2,2,35.0,0.00,8.6,1.5,13.3,3.7,-0.5,1.4,2370.0,39.5,39.5,1530725460.0
